full_date,calendar,year,quarter,quarter_id,month_number,month_name,month_name_abbr,day_of_month,day_of_week,day_name,day_name_abbr
9999-01-01 00:00:00,NOT APPLICABLE,0,0,NOT APPLICABLE,0,NOT APPLICABLE,NOT APPLICABLE,0,0,NOT APPLICABLE,NOT APPLICABLE
2016-01-01 00:00:00,01/01/2016,2016,1,Q1,1,January,Jan,1,4,Friday,Fri
2016-01-02 00:00:00,01/02/2016,2016,1,Q1,1,January,Jan,2,5,Saturday,Sat
2016-01-03 00:00:00,01/03/2016,2016,1,Q1,1,January,Jan,3,6,Sunday,Sun
2016-01-04 00:00:00,01/04/2016,2016,1,Q1,1,January,Jan,4,0,Monday,Mon
2016-01-05 00:00:00,01/05/2016,2016,1,Q1,1,January,Jan,5,1,Tuesday,Tue
2016-01-06 00:00:00,01/06/2016,2016,1,Q1,1,January,Jan,6,2,Wednesday,Wed
2016-01-07 00:00:00,01/07/2016,2016,1,Q1,1,January,Jan,7,3,Thursday,Thu
2016-01-08 00:00:00,01/08/2016,2016,1,Q1,1,January,Jan,8,4,Friday,Fri
2016-01-09 00:00:00,01/09/2016,2016,1,Q1,1,January,Jan,9,5,Saturday,Sat
2016-01-10 00:00:00,01/10/2016,2016,1,Q1,1,January,Jan,10,6,Sunday,Sun
2016-01-11 00:00:00,01/11/2016,2016,1,Q1,1,January,Jan,11,0,Monday,Mon
2016-01-12 00:00:00,01/12/2016,2016,1,Q1,1,January,Jan,12,1,Tuesday,Tue
2016-01-13 00:00:00,01/13/2016,2016,1,Q1,1,January,Jan,13,2,Wednesday,Wed
2016-01-14 00:00:00,01/14/2016,2016,1,Q1,1,January,Jan,14,3,Thursday,Thu
2016-01-15 00:00:00,01/15/2016,2016,1,Q1,1,January,Jan,15,4,Friday,Fri
2016-01-16 00:00:00,01/16/2016,2016,1,Q1,1,January,Jan,16,5,Saturday,Sat
2016-01-17 00:00:00,01/17/2016,2016,1,Q1,1,January,Jan,17,6,Sunday,Sun
2016-01-18 00:00:00,01/18/2016,2016,1,Q1,1,January,Jan,18,0,Monday,Mon
2016-01-19 00:00:00,01/19/2016,2016,1,Q1,1,January,Jan,19,1,Tuesday,Tue
2016-01-20 00:00:00,01/20/2016,2016,1,Q1,1,January,Jan,20,2,Wednesday,Wed
2016-01-21 00:00:00,01/21/2016,2016,1,Q1,1,January,Jan,21,3,Thursday,Thu
2016-01-22 00:00:00,01/22/2016,2016,1,Q1,1,January,Jan,22,4,Friday,Fri
2016-01-23 00:00:00,01/23/2016,2016,1,Q1,1,January,Jan,23,5,Saturday,Sat
2016-01-24 00:00:00,01/24/2016,2016,1,Q1,1,January,Jan,24,6,Sunday,Sun
2016-01-25 00:00:00,01/25/2016,2016,1,Q1,1,January,Jan,25,0,Monday,Mon
2016-01-26 00:00:00,01/26/2016,2016,1,Q1,1,January,Jan,26,1,Tuesday,Tue
2016-01-27 00:00:00,01/27/2016,2016,1,Q1,1,January,Jan,27,2,Wednesday,Wed
2016-01-28 00:00:00,01/28/2016,2016,1,Q1,1,January,Jan,28,3,Thursday,Thu
2016-01-29 00:00:00,01/29/2016,2016,1,Q1,1,January,Jan,29,4,Friday,Fri
2016-01-30 00:00:00,01/30/2016,2016,1,Q1,1,January,Jan,30,5,Saturday,Sat
2016-01-31 00:00:00,01/31/2016,2016,1,Q1,1,January,Jan,31,6,Sunday,Sun
2016-02-01 00:00:00,02/01/2016,2016,1,Q1,2,February,Feb,1,0,Monday,Mon
2016-02-02 00:00:00,02/02/2016,2016,1,Q1,2,February,Feb,2,1,Tuesday,Tue
2016-02-03 00:00:00,02/03/2016,2016,1,Q1,2,February,Feb,3,2,Wednesday,Wed
2016-02-04 00:00:00,02/04/2016,2016,1,Q1,2,February,Feb,4,3,Thursday,Thu
